time,size_sent,size_rcv 
0,0.69140625,10.96484375 
10,1.79765625,27.72578125 
20,1.24453125,18.98203125 
30,1.79765625,27.74296875 
40,2.62734375,41.63828125 
50,0.553125,8.7703125 
60,1.52109375,23.36796875 
70,1.10625,16.053125 
80,1.24453125,19.70703125 
90,1.52109375,24.11328125 
100,1.79765625,28.49765625 
110,1.79765625,27.74296875 
120,2.2125,35.109375 
130,1.24453125,18.23984375 
140,1.10625,17.5640625 
150,1.79765625,27.73203125 
160,1.3828125,21.1609375 
170,1.52109375,24.13671875 
180,1.52109375,24.10859375 
190,1.659375,26.3046875 
200,1.659375,26.3078125 
210,0.8296875,13.1453125 
