time,size_sent,size_rcv 
0,0.69140625,10.96484375 
10,2.4890625,38.690625 
20,3.73359375,57.67265625 
30,5.53125,85.415625 
40,8.15859375,127.05390625 
50,8.71171875,135.82421875 
60,10.2328125,159.1921875 
70,11.3390625,175.2453125 
80,12.58359375,194.95234375 
90,14.1046875,219.065625 
100,15.90234375,247.56328125 
110,17.7,275.30625 
120,19.9125,310.415625 
130,21.15703125,328.65546875 
140,22.26328125,346.21953125 
150,24.0609375,373.9515625 
160,25.44375,395.1125 
170,26.96484375,419.24921875 
180,28.4859375,443.3578125 
190,30.1453125,469.6625 
200,31.8046875,495.9703125 
210,32.634375,509.115625 
