time,connect,request 
0,8.775,329.548 
10,8.775,448.643 
20,8.775,457.541 
30,8.775,513.462 
40,8.775,769.409 
50,8.775,769.409 
60,8.775,1462.522 
70,8.775,3213.805 
80,8.775,3213.805 
90,8.775,4701.788 
100,8.775,5715.176 
110,9.854,6781.164 
120,9.854,6781.164 
130,9.854,6781.164 
140,9.854,6781.164 
150,14.021,6781.164 
160,16.074,6781.164 
170,16.933,6781.164 
180,16.933,6781.164 
190,55.162,6781.164 
200,55.162,6781.164 
210,55.162,6781.164 
220,55.162,6781.164 
230,55.162,6781.164 
240,55.162,6781.164 
250,55.162,6781.164 
260,55.162,6781.164 
270,55.162,6781.164 
280,55.162,6781.164 
281,55.162,6781.164 
