time,connect,request 
0,1.141,7.248 
10,1.059,6.854 
20,1.059,6.854 
30,1.059,6.854 
40,1.059,6.854 
50,0.968,6.854 
60,0.968,6.854 
70,0.912,6.854 
80,0.86,6.854 
90,0.86,0.514 
100,0.86,0.514 
110,0.86,0.514 
120,0.853,0.514 
130,0.853,0.509 
140,0.853,0.489 
150,0.687,0.489 
160,0.663,0.153 
170,0.591,0.153 
180,0.577,0.153 
190,0.577,0.153 
200,0.577,0.153 
210,0.577,0.153 
220,0.577,0.153 
230,0.577,0.153 
240,0.577,0.153 
250,0.577,0.153 
260,0.577,0.153 
270,0.577,0.153 
280,0.577,0.153 
281,0.577,0.153 
