time,session 
50,53690.314 
60,0 
70,71010.095 
80,75628.99 
90,86722.02266666667 
100,94280.83725 
110,101980.18672727272 
120,106154.09275 
130,109974.03866666666 
140,109903.18987499998 
150,100845.0622 
160,98710.24716666664 
170,97404.74354838714 
180,90850.94370329671 
190,88151.87921739127 
200,82941.77072666671 
210,82620.06602395215 
220,78249.11490270268 
230,81151.67607906976 
240,85528.53432446806 
250,91797.42214795924 
260,97709.3158910891 
270,103654.65109090903 
280,112073.70244444444 
281,0 
