time,size_sent,size_rcv 
0,17.0453125,51.059375 
10,61.43671875,223.6796875 
20,116.6921875,587.15546875 
30,137.04765625,1148.83984375 
40,171.80078125,906.1859375 
50,219.103125,1354.57890625 
60,267.1421875,1666.50703125 
70,247.44140625,1666.7296875 
80,264.04921875,1214.00390625 
90,313.275,1383.671875 
100,496.678125,1276.69296875 
110,756.76484375,1545.3609375 
120,1031.6453125,2335.471875 
130,1439.87421875,2543.68828125 
140,1788.796875,2433.1609375 
150,2400.22890625,3537.25078125 
160,2916.6546875,3035.125 
170,3431.86484375,3822.528125 
180,3551.0546875,5663.61015625 
190,3285.821875,5690.346875 
200,3064.94609375,5345.51171875 
210,2756.94609375,4696.10625 
220,2405.93671875,4745.340625 
230,1785.65078125,4586.70703125 
240,1125.48359375,4546.11484375 
250,807.77421875,4793.7078125 
260,390.11953125,2311.5390625 
270,82.028125,562.8234375 
280,14.35625,160.35703125 
281,0,0 
