time,page 
0,84.15291158327713 
10,117.96372309910993 
20,112.77761970237344 
30,112.10492722397902 
40,189.1958022659598 
50,214.39723427237283 
60,454.870518758408 
70,889.6157975145178 
80,866.7515190139706 
90,1821.553688241335 
100,2286.9308605266556 
110,2420.7611064285697 
120,1913.3525482150997 
130,1446.0762309315326 
140,1210.4295196683458 
150,971.7195407856593 
160,964.7566677073872 
170,802.0474362574156 
180,795.2551455316172 
190,596.8379087476145 
200,611.0184511454554 
210,599.8512299120712 
220,664.6596993981656 
230,673.8024094528959 
240,599.8261752263785 
250,405.70640712320494 
260,53.12119255242934 
270,29.002086965615074 
280,33.02454459606941 
281,0 
