time,freemem@tsung_controller@ip-172-31-22-225 
0,3518.08984375 
10,3520.50390625 
20,3520.50390625 
30,3520.50390625 
40,3520.50390625 
50,3520.50390625 
60,3520.50390625 
70,3520.50390625 
80,3520.50390625 
90,3520.50390625 
100,3520.50390625 
110,3520.50390625 
120,3520.50390625 
130,3520.50390625 
140,3520.50390625 
150,3520.50390625 
160,3520.50390625 
170,3520.50390625 
180,3520.50390625 
190,3520.50390625 
200,3520.50390625 
210,3520.50390625 
220,3520.50390625 
230,3520.50390625 
240,3520.50390625 
250,3520.50390625 
260,3520.50390625 
270,3520.50390625 
280,3520.50390625 
