time,freemem@tsung_controller@ip-172-31-22-225 
0,3518.08984375 
10,3518.08984375 
20,3514.171875 
30,3510.57421875 
40,3508.25390625 
50,3500.8515625 
60,3491.0859375 
70,3472.37109375 
80,3463.83203125 
90,3448.86328125 
100,3434.16015625 
110,3409.71484375 
120,3405.03515625 
130,3384.48828125 
140,3342.85546875 
150,3324.33984375 
160,3287.91015625 
170,3251.453125 
180,3229.75 
190,3222.17578125 
200,3214.19140625 
210,3208.9375 
220,3205.640625 
230,3203.08984375 
240,3201.51171875 
250,3198.609375 
260,3198.609375 
270,3198.609375 
280,3198.609375 
