time,connect,request 
0,8.795,483.152 
10,8.795,483.152 
20,8.795,483.152 
30,8.795,483.152 
40,8.795,746.098 
50,8.795,1614.731 
60,22.479,1676.411 
70,22.479,2416.009 
80,22.479,3852.871 
90,22.479,5505.9 
100,22.479,5505.9 
110,22.479,5988.52 
120,22.479,5988.52 
130,22.479,5988.52 
140,22.479,5988.52 
150,22.479,5988.52 
160,22.479,5988.52 
170,22.479,5988.52 
180,22.479,5988.52 
190,22.479,5988.52 
200,22.479,5988.52 
210,22.479,5988.52 
220,22.479,5988.52 
230,22.479,5988.52 
240,22.479,5988.52 
243,22.479,5988.52 
