time,connect,request 
0,2.290714285714285,77.14953846153846 
10,2.0509999999999997,36.16541818181818 
20,1.41275,51.7793023255814 
30,1.110941176470588,53.678505617977564 
40,1.1873500000000001,152.13247735191632 
50,1.18176,290.20610862619793 
60,1.7651818181818182,726.7442421052634 
70,1.2862439024390244,1509.53993129771 
80,1.3739791666666656,2141.4625672645766 
90,1.1652222222222224,2950.289889312979 
100,1.2375200000000002,1384.1987062436033 
110,1.1367428571428575,1318.8026549450522 
120,1.829214285714286,1047.8210526653825 
130,0,1084.6574801026966 
140,0,1117.7835664579022 
150,0,1139.2210975609753 
160,0,1115.6178713780955 
170,0,1253.3188240740744 
180,0,1515.87194471387 
190,0,1597.4123515463912 
200,0,1633.0387425860015 
210,0,692.829828870781 
220,0,54.67984403669722 
230,0,27.23071333333333 
240,0,23.197130434782608 
243,0,23.464 
