time,size_sent,size_rcv 
0,22.5578125,42.30546875 
10,35.440625,201.47109375 
20,58.2109375,379.2390625 
30,115.79921875,678.52578125 
40,188.234375,1285.5109375 
50,218.16328125,1270.0078125 
60,277.415625,1688.28359375 
70,270.59765625,1674.0890625 
80,312.04140625,1632.54140625 
90,334.09921875,1781.0203125 
100,584.57578125,2216.29375 
110,808.4484375,1943.7671875 
120,955.5765625,2198.8640625 
130,1018.2125,3823.1375 
140,955.59375,4647.54921875 
150,973.259375,4075.88046875 
160,986.4640625,3914.04296875 
170,901.4625,4726.16640625 
180,728.14765625,4062.45625 
190,676.90234375,5540.44453125 
200,541.5,6460.028125 
210,517.534375,6241.98359375 
220,377.10078125,4653.9328125 
230,97.86953125,1511.0046875 
240,30.2421875,558.325 
243,0.55625,0.1109375 
