time,page 
0,77.14953846153846 
10,38.255499999999984 
20,55.66755000000002 
30,56.8765416666667 
40,162.9232238805968 
50,288.3007312925168 
60,772.3602387640452 
70,1585.1510756756759 
80,2239.849809859152 
90,3056.605159919029 
100,1473.1861392818298 
110,1411.7363678431354 
120,1142.5221762237745 
130,1221.8976533238001 
140,1274.4587416798763 
150,1268.1503718048016 
160,1244.7313322834664 
170,1414.5219746724906 
180,1666.4326197033902 
190,1803.163043478262 
200,1879.6399010840082 
210,814.7692105960292 
220,64.0836172043011 
230,32.47238095238096 
240,29.65608333333334 
243,23.464 
