time,freemem@tsung_controller@ip-172-31-28-38 
0,3508.33203125 
10,3510.63671875 
20,3510.63671875 
30,3510.63671875 
40,3510.63671875 
50,3510.63671875 
60,3510.63671875 
70,3510.63671875 
80,3510.63671875 
90,3510.63671875 
100,3510.63671875 
110,3510.63671875 
120,3510.63671875 
130,3510.63671875 
140,3510.63671875 
150,3510.63671875 
160,3510.63671875 
170,3510.63671875 
180,3510.63671875 
190,3510.63671875 
200,3510.63671875 
210,3510.63671875 
220,3510.63671875 
230,3510.63671875 
240,3510.63671875 
243,3510.63671875 
