time,connect,request 
0,10.374,197.0 
10,10.374,320.776 
20,10.374,330.726 
30,10.374,330.726 
40,10.374,1249.053 
50,10.374,1621.053 
60,14.264,1621.053 
70,14.264,2772.792 
80,14.264,4561.649 
90,14.264,5146.454 
100,14.264,5477.029 
110,14.264,6369.853 
120,14.264,6369.853 
130,14.264,6369.853 
140,14.264,6369.853 
150,14.264,6369.853 
160,14.264,6369.853 
170,14.264,6369.853 
180,14.264,6369.853 
190,14.264,6369.853 
200,14.264,6369.853 
210,14.264,6369.853 
220,14.264,6369.853 
230,14.264,6369.853 
240,14.264,6369.853 
249,14.264,6369.853 
