time,size_sent,size_rcv 
0,10.834375,25.15859375 
10,37.47109375,109.00859375 
20,87.25390625,436.7296875 
30,182.5546875,945.534375 
40,327.5078125,1761.39296875 
50,549.4125,3097.21953125 
60,814.525,4742.03359375 
70,1077.51328125,6288.6 
80,1311.89296875,7614.909375 
90,1576.721875,9048.96484375 
100,2076.4421875,10302.1703125 
110,2783.425,12070.2359375 
120,3729.2671875,14162.0625 
130,4743.959375,17653.54140625 
140,5691.62265625,20960.4875 
150,6696.546875,24644.16484375 
160,7644.9765625,27773.28515625 
170,8576.0015625,31243.18828125 
180,9431.821875,34983.175 
190,10136.57421875,38468.3546875 
200,10755.21640625,42372.60390625 
210,11191.421875,46781.3984375 
220,11628.11171875,51230.73515625 
230,11821.3546875,53370.253125 
240,11891.56796875,54017.46484375 
249,11907.49609375,54246.5265625 
