time,page 
0,48.118947368421054 
10,51.31470731707318 
20,63.35086486486487 
30,54.24950746268657 
40,218.57290865384613 
50,449.2233203883494 
60,405.1589945799457 
70,1565.6742168674677 
80,3384.654196013289 
90,2999.1565859375023 
100,1975.1133633136092 
110,1354.3199773123872 
120,1174.2443319559245 
130,1241.993684912281 
140,1255.0245451099322 
150,1150.2025967016511 
160,1310.881760224539 
170,1347.5321772046589 
180,1439.3578503649626 
190,1729.9881885336274 
200,1857.5269887920279 
210,2203.833315696647 
220,955.4889150521614 
230,68.72389166666669 
240,33.03913953488371 
249,36.064 
