time,freemem@tsung_controller@ip-172-31-24-43 
0,3511.83984375 
10,3511.83984375 
20,3511.83984375 
30,3511.83984375 
40,3508.23046875 
50,3502.80859375 
60,3493.82421875 
70,3483.609375 
80,3473.69921875 
90,3459.22265625 
100,3455.21484375 
110,3438.265625 
120,3428.57421875 
130,3404.90234375 
140,3401.39453125 
150,3398.7578125 
160,3383.51953125 
170,3382.08203125 
180,3380.76953125 
190,3380.3359375 
200,3378.79296875 
210,3378.48046875 
220,3377.6875 
230,3377.6875 
240,3377.6875 
249,3377.6875 
