time,connect,request 
0,23.543,1934.545 
10,36.196,2885.504 
20,36.196,9695.464 
30,36.196,9695.464 
40,36.196,9695.464 
50,36.957,9695.464 
60,76.478,18548.569 
70,76.478,18548.569 
80,76.478,31060.911 
90,76.478,35739.467 
100,76.478,35739.467 
110,76.478,45486.364 
120,76.478,45486.364 
130,76.478,60047.417 
140,76.478,60047.417 
150,76.478,60049.161 
160,76.478,60049.161 
170,76.478,60113.703 
180,76.478,60113.703 
190,76.478,60113.703 
200,76.478,60113.703 
210,76.478,60113.703 
220,76.478,60113.703 
230,76.478,60113.703 
240,76.478,60113.703 
250,76.478,60113.703 
260,76.478,60113.703 
270,76.478,60113.703 
280,76.478,60113.703 
290,76.478,60113.703 
300,76.478,60113.703 
310,76.478,60113.703 
320,76.478,60113.703 
330,76.478,60113.703 
340,76.478,60113.703 
350,76.478,60113.703 
360,76.478,60113.703 
370,76.478,60113.703 
380,76.478,60113.703 
390,76.478,60113.703 
400,76.478,60113.703 
410,76.478,60113.703 
420,76.478,60113.703 
430,76.478,60113.703 
440,76.478,60113.703 
450,76.478,60113.703 
460,76.478,60113.703 
470,76.478,60113.703 
476,76.478,60113.703 
