time,connect,request 
0,0.6,1.5 
10,1,1.9 
20,1.1,10.2 
30,0.4,17.2 
40,2.1,20 
50,1.7,5.3 
60,3.3,5.9 
70,4,4.3 
80,3.8,7.4 
90,6.2,37.7 
100,7.6,78.6 
110,6.8,122.1 
120,4.4,159.9 
130,0,155.1 
140,0,158 
150,0,151.8 
160,0,136.2 
170,0,119.1 
180,0,98.7 
190,0,74.8 
200,0,64.8 
210,0,54.3 
220,0,42.3 
230,0,32.8 
240,0,25.9 
250,0,18.2 
260,0,13 
270,0,10.9 
280,0,11.1 
290,0,11.2 
300,0,9.9 
310,0,9.1 
320,0,12.2 
330,0,11.3 
340,0,11.2 
350,0,11.8 
360,0,12.6 
370,0,8.3 
380,0,11.5 
390,0,10.9 
400,0,9.7 
410,0,9.1 
420,0,8.3 
430,0,6.1 
440,0,7.9 
450,0,3 
460,0,2.2 
470,0,0.6 
476,0,0.1 
