time,session 
100,103143.181 
110,103143.181 
120,103143.181 
130,103143.181 
140,45448.176 
150,45448.176 
160,42340.775 
170,42340.775 
180,42340.775 
190,42340.775 
200,42340.775 
210,42340.775 
220,42340.775 
230,42340.775 
240,42340.775 
250,42340.775 
260,42340.775 
270,42340.775 
280,42340.775 
290,42340.775 
300,42340.775 
310,42340.775 
320,42340.775 
330,42340.775 
340,42340.775 
350,42340.775 
360,42340.775 
370,42340.775 
380,42340.775 
390,42340.775 
400,42340.775 
410,42340.775 
420,42340.775 
430,42340.775 
440,42340.775 
450,42340.775 
460,42340.775 
470,42340.775 
476,42340.775 
