time,size_sent,size_rcv 
0,7.0890625,27.39375 
10,14.3203125,28.8625 
20,54.934375,102.925 
30,126.26015625,876.92421875 
40,138.0109375,940.846875 
50,54.97265625,169.48125 
60,35.3234375,96.1296875 
70,40.63046875,77.003125 
80,34.89375,120.3765625 
90,157.784375,188.38125 
100,301.525,296.10703125 
110,474.10078125,395.49921875 
120,593.1921875,418.41875 
130,591.396875,418.8234375 
140,616.22109375,423.57890625 
150,606.10234375,429.2765625 
160,562.74296875,368.259375 
170,500.8203125,340.05625 
180,440.01171875,397.83984375 
190,357.3421875,474.39375 
200,317.85546875,390.25859375 
210,280.2796875,409.04765625 
220,216.0375,522.00390625 
230,180.69921875,499.83671875 
240,134.40234375,276.19765625 
250,105.09453125,412.559375 
260,72.29765625,320.15546875 
270,66.28125,277.5203125 
280,63.99921875,404.01796875 
290,62.0734375,519.03125 
300,57.51953125,514.728125 
310,56.928125,332.4984375 
320,63.22109375,422.41953125 
330,69.128125,398.04453125 
340,65.265625,629.84375 
350,68.4328125,558.609375 
360,69.921875,482.32421875 
370,59.1078125,455.553125 
380,67.18671875,374.778125 
390,68.075,517.85703125 
400,61.73515625,424.25625 
410,57.215625,333.5234375 
420,46.47265625,665.0265625 
430,37.01328125,277.959375 
440,52.52421875,371.6390625 
450,18.38203125,240.97265625 
460,11.16796875,332.0296875 
470,4.209375,78.5265625 
476,0.5546875,0.1109375 
