time,size_sent,size_rcv 
0,7.0890625,27.39375 
10,21.409375,56.25625 
20,76.34375,159.18125 
30,202.60390625,1036.10546875 
40,340.61484375,1976.95234375 
50,395.5875,2146.43359375 
60,430.9109375,2242.56328125 
70,471.54140625,2319.56640625 
80,506.43515625,2439.94296875 
90,664.21953125,2628.32421875 
100,965.74453125,2924.43125 
110,1439.8453125,3319.93046875 
120,2033.0375,3738.34921875 
130,2624.434375,4157.17265625 
140,3240.65546875,4580.7515625 
150,3846.7578125,5010.028125 
160,4409.50078125,5378.2875 
170,4910.32109375,5718.34375 
180,5350.3328125,6116.18359375 
190,5707.675,6590.57734375 
200,6025.53046875,6980.8359375 
210,6305.81015625,7389.88359375 
220,6521.84765625,7911.8875 
230,6702.546875,8411.72421875 
240,6836.94921875,8687.921875 
250,6942.04375,9100.48125 
260,7014.34140625,9420.63671875 
270,7080.62265625,9698.15703125 
280,7144.621875,10102.175 
290,7206.6953125,10621.20625 
300,7264.21484375,11135.934375 
310,7321.14296875,11468.4328125 
320,7384.3640625,11890.85234375 
330,7453.4921875,12288.896875 
340,7518.7578125,12918.740625 
350,7587.190625,13477.35 
360,7657.1125,13959.67421875 
370,7716.2203125,14415.22734375 
380,7783.40703125,14790.00546875 
390,7851.48203125,15307.8625 
400,7913.2171875,15732.11875 
410,7970.4328125,16065.6421875 
420,8016.90546875,16730.66875 
430,8053.91875,17008.628125 
440,8106.44296875,17380.2671875 
450,8124.825,17621.23984375 
460,8135.99296875,17953.26953125 
470,8140.20234375,18031.79609375 
476,8140.75703125,18031.90703125 
