time,page 
0,533.4531906498597 
10,882.4487780184996 
20,2096.444369541759 
30,117.53510037160697 
40,429.9810607324438 
50,2937.2433798262336 
60,3578.4609806122794 
70,3855.7998727984213 
80,6927.730937971961 
90,7493.336732335924 
100,6173.332800887098 
110,5486.934781534586 
120,3468.2189577187223 
130,5138.162839673233 
140,5397.509546477908 
150,8378.004922250731 
160,6989.514104581296 
170,11759.230215109466 
180,10757.182254326051 
190,7848.83763339156 
200,6746.216170984612 
210,7108.060344780402 
220,9542.019730519376 
230,9388.536326930269 
240,9162.708437540408 
250,10147.399880639876 
260,8916.70468930229 
270,6575.730670767363 
280,5433.946425482186 
290,6712.700830378101 
300,6204.512306485584 
310,6013.578545218306 
320,5398.319597397715 
330,6068.10428251842 
340,5221.1783399844735 
350,4947.545720592412 
360,3872.6111938467657 
370,3654.18441922943 
380,3680.6879315787783 
390,3460.756553921092 
400,3236.2775587838205 
410,3174.7455736175557 
420,3605.901549089001 
430,2752.3023314563984 
440,1878.1048688294636 
450,1265.408366159061 
460,1428.1235535630221 
470,455.3995445597196 
476,0.0 
