time,users_count,finish_users_count 
0,6,0 
10,16,0 
20,27,0 
30,31,0 
40,53,0 
50,70,0 
60,103,0 
70,142,0 
80,182,0 
90,245,0 
100,320,1 
110,387,2 
120,430,2 
130,430,2 
140,430,14 
150,430,30 
160,430,58 
170,430,92 
180,430,121 
190,430,150 
200,430,170 
210,430,195 
220,430,210 
230,430,221 
240,430,233 
250,430,248 
260,430,252 
270,430,259 
280,430,261 
290,430,264 
300,430,267 
310,430,276 
320,430,287 
330,430,293 
340,430,303 
350,430,316 
360,430,332 
370,430,338 
380,430,357 
390,430,365 
400,430,377 
410,430,384 
420,430,398 
430,430,405 
440,430,417 
450,430,425 
460,430,429 
470,430,429 
476,430,430 
