time,freemem@tsung_controller@ip-172-31-28-38 
0,3503.7734375 
10,3505.2421875 
20,3505.2421875 
30,3505.2421875 
40,3505.2421875 
50,3505.2421875 
60,3505.2421875 
70,3505.2421875 
80,3505.2421875 
90,3505.2421875 
100,3505.2421875 
110,3505.2421875 
120,3505.2421875 
130,3505.2421875 
140,3505.2421875 
150,3505.2421875 
160,3505.2421875 
170,3505.2421875 
180,3505.2421875 
190,3505.2421875 
200,3505.2421875 
210,3505.2421875 
220,3505.2421875 
230,3505.2421875 
240,3505.2421875 
250,3505.2421875 
260,3505.2421875 
270,3505.2421875 
280,3505.2421875 
290,3505.2421875 
300,3505.2421875 
310,3505.2421875 
320,3505.2421875 
330,3505.2421875 
340,3505.2421875 
350,3505.2421875 
360,3505.2421875 
370,3505.2421875 
380,3505.2421875 
390,3505.2421875 
400,3505.2421875 
410,3505.2421875 
420,3505.2421875 
430,3505.2421875 
440,3505.2421875 
450,3505.2421875 
460,3505.2421875 
470,3505.2421875 
476,3505.2421875 
