time,freemem@tsung_controller@ip-172-31-28-38 
0,3503.7734375 
10,3505.2421875 
20,3502.6484375 
30,3497.4453125 
40,3495.546875 
50,3487.453125 
60,3486.58984375 
70,3486.25 
80,3482.2421875 
90,3479.28125 
100,3469.40625 
110,3457.48046875 
120,3455.2578125 
130,3445.38671875 
140,3439.97265625 
150,3439.02734375 
160,3438.57421875 
170,3438.234375 
180,3437.890625 
190,3437.42578125 
200,3436.59375 
210,3436.125 
220,3435.015625 
230,3434.79296875 
240,3434.6796875 
250,3434.578125 
260,3434.23046875 
270,3433.5859375 
280,3437.01953125 
290,3436.52734375 
300,3435.59375 
310,3435.3671875 
320,3435.140625 
330,3435.3984375 
340,3434.92578125 
350,3434.45703125 
360,3434.35546875 
370,3434.49609375 
380,3434.73046875 
390,3434.7421875 
400,3434.6953125 
410,3434.50390625 
420,3434.4921875 
430,3434.6328125 
440,3442.91015625 
450,3450.2109375 
460,3450.296875 
470,3449.76953125 
476,3449.515625 
