time,freemem@tsung_controller@ip-172-31-28-38 
0,3503.7734375 
10,3503.7734375 
20,3502.6484375 
30,3497.4453125 
40,3495.546875 
50,3487.453125 
60,3486.58984375 
70,3486.25 
80,3482.2421875 
90,3479.28125 
100,3469.40625 
110,3457.48046875 
120,3455.2578125 
130,3445.38671875 
140,3439.97265625 
150,3439.02734375 
160,3438.57421875 
170,3438.234375 
180,3437.890625 
190,3437.42578125 
200,3436.59375 
210,3436.125 
220,3435.015625 
230,3434.79296875 
240,3434.6796875 
250,3434.578125 
260,3434.23046875 
270,3433.5859375 
280,3433.5859375 
290,3433.5859375 
300,3433.5859375 
310,3433.5859375 
320,3433.5859375 
330,3433.5859375 
340,3433.5859375 
350,3433.5859375 
360,3433.5859375 
370,3433.5859375 
380,3433.5859375 
390,3433.5859375 
400,3433.5859375 
410,3433.5859375 
420,3433.5859375 
430,3433.5859375 
440,3433.5859375 
450,3433.5859375 
460,3433.5859375 
470,3433.5859375 
476,3433.5859375 
