time,recvpackets@tsung_controller@ip-172-31-28-38 
10,1238 
20,1238 
30,1238 
40,1238 
50,1238 
60,1238 
70,1238 
80,1238 
90,1238 
100,1238 
110,1423 
120,1716 
130,1799 
140,1799 
150,1799 
160,1799 
170,1799 
180,1799 
190,1799 
200,1799 
210,1799 
220,1799 
230,1799 
240,1799 
250,1799 
260,1799 
270,1799 
280,1799 
290,1799 
300,1799 
310,1799 
320,1799 
330,1799 
340,1799 
350,1799 
360,1799 
370,1799 
380,1799 
390,1799 
400,1799 
410,1799 
420,1799 
430,1799 
440,1799 
450,1799 
460,1799 
470,1799 
476,1799 
