time,size_sent,size_rcv 
0,15.49375,55.6484375 
10,47.33046875,110.49296875 
20,114.98359375,775.29140625 
30,119.36953125,826.159375 
40,196.6625,1476.42578125 
50,229.16328125,1672.18125 
60,275.3578125,1763.690625 
70,251.00546875,1433.75390625 
80,236.178125,1612.35234375 
90,283.01796875,1037.6953125 
100,511.01328125,1280.4640625 
110,758.6875,1797.97890625 
120,901.515625,2294.83984375 
130,997.525,3052.82265625 
140,981.77578125,4232.9421875 
150,967.196875,3659.971875 
160,937.9265625,3673.32734375 
170,913.02890625,3982.73359375 
180,823.25546875,3570.16875 
190,747.96171875,4580.02109375 
200,606.94140625,5241.42734375 
210,484.67421875,5420.60625 
220,450.9375,6336.37421875 
230,187.5265625,3209.6078125 
240,36.18515625,476.13671875 
250,10.390625,113.7203125 
254,1.79375,27.7015625 
