time,page 
0,37.613882352941175 
10,73.5984084507042 
20,84.35721250000006 
30,108.75515151515151 
40,242.45407984790864 
50,295.61929430379763 
60,513.5885173410405 
70,1688.3350487105995 
80,3055.4507956656344 
90,3269.61153884712 
100,1901.177293040291 
110,1354.521931177449 
120,1158.658183098589 
130,1302.1258147080039 
140,1172.5616463414628 
150,1211.2793364055306 
160,1345.1179561332253 
170,1382.6156706484662 
180,1491.7206227657582 
190,1682.2019535864997 
200,1999.2067528517098 
210,1915.0944334365342 
220,853.6929828125009 
230,165.59397647058822 
240,29.43760869565217 
250,19.848230769230774 
254,13.416 
