time,page 
0,55.21871899826805 
10,94.3207366397749 
20,104.02091343459422 
30,142.7417529266224 
40,255.02387848400403 
50,254.46600164380996 
60,460.26151962393385 
70,876.7275345856232 
80,960.0251442368217 
90,1479.388189420478 
100,2199.1656530753394 
110,2307.3156325912555 
120,1805.9731254700635 
130,1725.1029542536692 
140,1510.4356625746211 
150,1488.0314863098224 
160,1383.872727453149 
170,1341.2903529581697 
180,1164.0684842279622 
190,1236.0063945986963 
200,1393.2395137618998 
210,729.9312583780176 
220,785.5405189465633 
230,243.4018831097169 
240,38.303157961803635 
250,27.632462690309765 
254,6.461 
