time,freemem@tsung_controller@ip-172-31-28-38 
0,3504.37109375 
10,3506.57421875 
20,3506.57421875 
30,3506.57421875 
40,3506.57421875 
50,3506.57421875 
60,3506.57421875 
70,3506.57421875 
80,3506.57421875 
90,3506.57421875 
100,3506.57421875 
110,3506.57421875 
120,3506.57421875 
130,3506.57421875 
140,3506.57421875 
150,3506.57421875 
160,3506.57421875 
170,3506.57421875 
180,3506.57421875 
190,3506.57421875 
200,3506.57421875 
210,3506.57421875 
220,3506.57421875 
230,3506.57421875 
240,3506.57421875 
250,3506.57421875 
254,3506.57421875 
