time,freemem@tsung_controller@ip-172-31-28-38 
0,3504.37109375 
10,3506.57421875 
20,3503.9375 
30,3496.90234375 
40,3494.13671875 
50,3485.08203125 
60,3483.046875 
70,3475.53125 
80,3466.90625 
90,3451.33984375 
100,3448.09375 
110,3434.8046875 
120,3418.7734375 
130,3408.9609375 
140,3398.5546875 
150,3395.54296875 
160,3393.984375 
170,3392.9453125 
180,3390.94140625 
190,3394.67578125 
200,3393.03125 
210,3390.18359375 
220,3388.921875 
230,3389.19921875 
240,3397.54296875 
250,3399.8515625 
254,3403.03125 
