time,connect,request 
0,33.471,194.121 
10,33.471,974.69 
20,33.471,974.69 
30,33.471,974.69 
40,107.472,1069.098 
50,107.472,1882.115 
60,107.472,3162.506 
70,107.472,3966.288 
80,107.472,5386.938 
90,107.472,6596.537 
100,107.472,7260.581 
110,107.472,8527.129 
120,107.472,8527.129 
130,107.472,8527.129 
140,107.472,8527.129 
150,107.472,8527.129 
160,107.472,8527.129 
170,107.472,8527.129 
180,107.472,8527.129 
190,107.472,8527.129 
200,107.472,8527.129 
210,107.472,8527.129 
220,107.472,8527.129 
230,107.472,8527.129 
240,107.472,8527.129 
250,107.472,8527.129 
259,107.472,8527.129 
