time,size_sent,size_rcv 
0,11.32734375,36.40390625 
10,46.66953125,138.48359375 
20,127.1109375,619.83046875 
30,120.55859375,1078.8125 
40,160.3546875,998.41171875 
50,242.15859375,1175.1046875 
60,219.3375,1600.85703125 
70,259.765625,1249.5875 
80,242.015625,1129.25703125 
90,228.1890625,1489.61328125 
100,442.91484375,1670.73828125 
110,636.17578125,1262.2109375 
120,808.7078125,1960.2171875 
130,827.18515625,2705.13671875 
140,880.61640625,2742.49296875 
150,867.75390625,2927.1890625 
160,725.96875,2963.3359375 
170,756.02890625,2804.68125 
180,705.09453125,2746.09375 
190,692.52734375,2982.5890625 
200,503.0953125,2915.875 
210,487.5640625,3271.6203125 
220,416.12109375,3271.56875 
230,367.63046875,3526.76796875 
240,160.45859375,1437.534375 
250,63.72265625,500.5609375 
259,5.75859375,68.18828125 
