time,size_sent,size_rcv 
0,11.32734375,36.40390625 
10,57.996875,174.8875 
20,185.1078125,794.71796875 
30,305.66640625,1873.53046875 
40,466.02109375,2871.9421875 
50,708.1796875,4047.046875 
60,927.5171875,5647.90390625 
70,1187.2828125,6897.49140625 
80,1429.2984375,8026.7484375 
90,1657.4875,9516.36171875 
100,2100.40234375,11187.1 
110,2736.578125,12449.3109375 
120,3545.2859375,14409.528125 
130,4372.47109375,17114.66484375 
140,5253.0875,19857.1578125 
150,6120.84140625,22784.346875 
160,6846.81015625,25747.6828125 
170,7602.8390625,28552.3640625 
180,8307.93359375,31298.4578125 
190,9000.4609375,34281.046875 
200,9503.55625,37196.921875 
210,9991.1203125,40468.5421875 
220,10407.24140625,43740.1109375 
230,10774.871875,47266.87890625 
240,10935.33046875,48704.41328125 
250,10999.053125,49204.97421875 
259,11004.81171875,49273.1625 
