time,page 
0,26.488391304347818 
10,83.1898024691358 
20,76.52468421052636 
30,71.65779617834393 
40,119.66933913043478 
50,206.4366125 
60,1000.1404027303752 
70,1438.6044346590913 
80,2788.2226161616163 
90,4078.595279761905 
100,2148.5174236311213 
110,1653.1070351219516 
120,1233.0142239932902 
130,1578.4594584055476 
140,1315.1223893581073 
150,1483.4002379280093 
160,1704.91098621421 
170,1539.669676113361 
180,1774.942401540153 
190,1796.928579775283 
200,2362.2488304278913 
210,2054.216301833572 
220,1901.8370589430901 
230,1083.4537072727287 
240,122.62304901960789 
250,26.362921052631588 
259,34.000499999999995 
