time,size_sent,size_rcv 
0,15.7296875,44.915625 
10,55.203125,216.2921875 
20,73.8859375,540.0203125 
30,132.05625,763.23125 
40,161.33828125,907.584375 
50,227.38125,1685.33671875 
60,275.89609375,1520.66640625 
70,264.83671875,1475.81015625 
80,245.25546875,1655.4703125 
90,297.4046875,1342.82578125 
100,473.98203125,1858.16328125 
110,726.55390625,1515.359375 
120,879.03515625,2137.13046875 
130,930.9703125,3100.35234375 
140,907.16875,3443.68359375 
150,881.265625,3492.90078125 
160,861.66015625,3356.2109375 
170,805.96328125,3287.51328125 
180,764.32109375,3236.5078125 
190,657.05390625,3471.49453125 
200,568.534375,3803.19765625 
210,512.1109375,4059.1765625 
220,425.63515625,4020.459375 
230,297.2203125,2816.2109375 
240,85.92578125,1115.06328125 
246,12.6109375,139.96484375 
