time,page 
0,55.16346289424165 
10,80.00271402549025 
20,71.26372052177784 
30,129.47696364656093 
40,137.55471137369437 
50,557.865319115047 
60,372.16159216359364 
70,702.4410760133186 
80,843.529978149811 
90,1184.9369786321918 
100,2243.757800906389 
110,2443.270570522366 
120,2049.7575322659727 
130,1766.360558555409 
140,1487.1259964046449 
150,1423.756355028532 
160,1417.8816845450967 
170,1468.859210772125 
180,1354.1997766333945 
190,1153.740807205141 
200,1021.619373471354 
210,909.7902827331318 
220,779.1373173096657 
230,367.8800761911977 
240,71.05451391235543 
246,37.426006762618364 
