time,freemem@tsung_controller@ip-172-31-24-43 
0,3512.4453125 
10,3514.80859375 
20,3514.80859375 
30,3514.80859375 
40,3514.80859375 
50,3514.80859375 
60,3514.80859375 
70,3514.80859375 
80,3514.80859375 
90,3514.80859375 
100,3514.80859375 
110,3514.80859375 
120,3514.80859375 
130,3514.80859375 
140,3514.80859375 
150,3514.80859375 
160,3514.80859375 
170,3514.80859375 
180,3514.80859375 
190,3514.80859375 
200,3514.80859375 
210,3514.80859375 
220,3514.80859375 
230,3514.80859375 
240,3514.80859375 
246,3514.80859375 
