time,freemem@tsung_controller@ip-172-31-24-43 
0,3512.4453125 
10,3514.80859375 
20,3512.515625 
30,3508.41796875 
40,3503.83984375 
50,3501.6875 
60,3493.09375 
70,3482.81640625 
80,3473.421875 
90,3460.3828125 
100,3456.515625 
110,3438.54296875 
120,3430.81640625 
130,3421.94140625 
140,3404.484375 
150,3387.328125 
160,3385.89453125 
170,3383.953125 
180,3382.84765625 
190,3381.1640625 
200,3379.1640625 
210,3379.44140625 
220,3379.71484375 
230,3377.421875 
240,3385.93359375 
246,3403.078125 
