time,502,200,500,302 
90,3.2,16.4,,21.2 
100,43.3,12.8,0.1,17.2 
110,73.9,13.2,3.4,20 
120,131.6,10.5,6.7,18.6 
130,214.4,14.5,10.5,17.9 
140,288.7,11.8,16,18.9 
150,397.4,13.5,20.1,20.1 
160,580.4,10.8,16.1,17 
170,699.8,12.5,23.9,18 
180,664.2,12.2,48.1,27.8 
190,608.4,15.8,62.9,30.8 
200,466.4,15.6,63.8,34.7 
210,410.5,13.6,69.3,35.8 
220,277.4,17.1,83.8,45.1 
230,176,17.6,73.1,39.9 
240,47.8,19.7,76.6,50.4 
250,7,22,60.9,46.6 
260,0,13.2,30.1,28.6 
270,0,3.5,6.4,9.6 
280,0,0.7,1.2,1.7 
287,0,0.1,0.2,0.2 
