time,connect,request 
0,8.638,224.729 
10,8.638,498.613 
20,8.638,498.613 
30,8.638,504.538 
40,8.638,580.812 
50,8.638,1058.775 
60,10.408,1200.096 
70,10.408,2664.588 
80,10.408,3288.911 
90,10.408,4893.571 
100,10.408,6660.154 
110,10.408,6660.154 
120,24.29,6660.154 
130,24.29,6660.154 
140,24.29,6660.154 
150,48.067,6660.154 
160,48.067,6660.154 
170,48.067,6660.154 
180,48.067,6660.154 
190,48.067,6660.154 
200,48.067,6660.154 
210,48.067,6660.154 
220,48.067,6660.154 
230,48.067,6660.154 
240,48.067,6660.154 
250,48.067,6660.154 
260,48.067,6660.154 
270,48.067,6660.154 
280,48.067,6660.154 
287,48.067,6660.154 
