time,connect,request 
0,0.972,6.481 
10,0.972,6.481 
20,0.972,6.481 
30,0.972,6.481 
40,0.972,6.481 
50,0.972,6.481 
60,0.82,6.481 
70,0.82,6.481 
80,0.807,6.481 
90,0.807,0.473 
100,0.764,0.438 
110,0.764,0.423 
120,0.764,0.41 
130,0.75,0.41 
140,0.75,0.407 
150,0.655,0.407 
160,0.557,0.407 
170,0.557,0.399 
180,0.539,0.399 
190,0.506,0.399 
200,0.506,0.389 
210,0.491,0.389 
220,0.491,0.389 
230,0.491,0.389 
240,0.491,0.389 
250,0.491,0.389 
260,0.491,0.389 
270,0.491,0.389 
280,0.491,0.389 
287,0.491,0.389 
