time,session 
60,61716.158 
70,65640.813 
80,77958.4 
90,90213.778 
100,93185.5215 
110,106416.85866666667 
120,108486.97333333334 
130,114225.17822222222 
140,104190.23057142856 
150,105576.49009999998 
160,105791.97435294115 
170,99151.01801960786 
180,91716.23582758619 
190,88704.00253719006 
200,83970.51504347828 
210,81095.95163870965 
220,78404.12724509816 
230,80500.88943877557 
240,84395.16039896372 
250,90489.82952000004 
260,96281.0168125 
270,104669.56206250003 
280,112204.0121 
287,122131.695 
