time,session 
60,0 
70,0.0 
80,2414.301000000003 
90,0.0 
100,6768.800115496636 
110,2862.100813913248 
120,8913.497172494 
130,6215.433765915324 
140,7841.335103117906 
150,13126.983592165869 
160,16837.74097496978 
170,17766.864129543686 
180,18291.38236946376 
190,19138.59306098049 
200,15567.093539738009 
210,16142.516388769463 
220,13982.583470178835 
230,13787.251529619924 
240,10417.223524223222 
250,8630.033157802312 
260,6424.361015256283 
270,6607.641390551997 
280,4239.449145095959 
287,0.0 
