time,size_sent,size_rcv 
0,23.0265625,69.02265625 
10,96.071875,284.35390625 
20,201.90234375,1013.1734375 
30,350.74921875,2071.38125 
40,553.371875,3193.696875 
50,807.54765625,4932.1484375 
60,1067.73515625,6458.92890625 
70,1329.1453125,8028.56015625 
80,1581.0265625,9399.73671875 
90,1850.6703125,10640.75234375 
100,2394.68125,12503.54609375 
110,3148.025,14036.91328125 
120,4034.30703125,16340.01484375 
130,5014.01015625,19855.14296875 
140,5990.82421875,23330.26171875 
150,6910.42578125,26964.70703125 
160,7829.09375,30518.7015625 
170,8718.71953125,33989.68984375 
180,9481.36171875,37121.5203125 
190,10194.615625,40797.48359375 
200,10773.26171875,44400.88515625 
210,11254.69453125,48437.9625 
220,11662.86875,52515.21953125 
230,11918.25078125,54301.696875 
240,11991.4734375,55340.51796875 
250,11998.4953125,55411.10859375 
