time,page 
0,42.181000000000004 
10,76.98724137931033 
20,60.30241322314045 
30,95.84168235294118 
40,111.31347465437786 
50,257.3234436619718 
60,508.3967971830989 
70,1543.5434299674262 
80,2541.135709090907 
90,3112.9367794871814 
100,2056.48545050215 
110,1638.9418723809508 
120,1057.308669014083 
130,681.5246682008379 
140,546.7957303732335 
150,399.7199216489882 
160,259.49554010046785 
170,247.40161437626114 
180,259.9657508907368 
190,262.5115352775173 
200,299.23612425120734 
210,332.25147738799626 
220,443.3500711620461 
230,592.9163471349349 
240,897.9791367924538 
250,939.5223230505578 
260,91.09095609756086 
270,16.56859756097561 
280,17.04948387096774 
287,9.81425 
