time,freemem@tsung_controller@ip-172-31-22-225 
0,3513.30078125 
10,3514.4453125 
20,3514.4453125 
30,3514.4453125 
40,3514.4453125 
50,3514.4453125 
60,3514.4453125 
70,3514.4453125 
80,3514.4453125 
90,3514.4453125 
100,3514.4453125 
110,3514.4453125 
120,3514.4453125 
130,3514.4453125 
140,3514.4453125 
150,3514.4453125 
160,3514.4453125 
170,3514.4453125 
180,3514.4453125 
190,3514.4453125 
200,3514.4453125 
210,3514.4453125 
220,3514.4453125 
230,3514.4453125 
240,3514.4453125 
250,3514.4453125 
260,3514.4453125 
270,3514.4453125 
280,3514.4453125 
287,3514.4453125 
