time,freemem@tsung_controller@ip-172-31-28-38 
0,3513.85546875 
10,3513.85546875 
20,3513.70703125 
30,3508.3203125 
40,3502.046875 
50,3496.359375 
60,3487.65625 
70,3485.98828125 
80,3476.640625 
90,3460.6015625 
100,3447.1015625 
110,3439.390625 
120,3424.37890625 
130,3407.1484375 
140,3402.91015625 
150,3401.1171875 
160,3399.5703125 
170,3397.765625 
180,3396.8125 
190,3396.34765625 
200,3395.171875 
210,3394.9765625 
220,3394.95703125 
230,3394.95703125 
240,3394.95703125 
250,3394.95703125 
