time,size_sent,size_rcv 
0,18.13125,44.1203125 
10,43.6796875,189.77421875 
20,102.53671875,590.3 
30,133.97109375,988.725 
40,202.89140625,1208.85703125 
50,230.37890625,1852.7296875 
60,290.81796875,1984.02890625 
70,265.0921875,1677.19609375 
80,280.24921875,1241.9046875 
90,298.55546875,1572.60859375 
100,478.0125,1746.134375 
110,750.41484375,2251.48125 
120,848.73984375,2663.6421875 
130,840.11171875,3612.528125 
140,851.74453125,4870.91640625 
150,807.1734375,4183.39921875 
160,793.97421875,3887.36796875 
170,776.06328125,4444.5828125 
180,733.13203125,4296.13203125 
190,699.49375,5169.85390625 
200,605.45390625,5783.35703125 
210,553.553125,6613.5828125 
220,467.2234375,5398.52421875 
230,199.3046875,2680.6140625 
240,32.7671875,640.35390625 
247,4.003125,70.7453125 
