time,page 
0,56.42938235294119 
10,60.55476712328769 
20,76.22695683453236 
30,61.702734806629856 
40,115.89751282051284 
50,233.02859692307695 
60,323.8416702702703 
70,1614.250601671309 
80,2440.521937007874 
90,2974.774950471697 
100,1946.1510851955309 
110,1513.8506521739157 
120,1414.926136026381 
130,1429.727214409721 
140,1407.9923522626439 
150,1543.321629523811 
160,1541.9013491295937 
170,1625.1101629327895 
180,1651.6784902807774 
190,1776.6912313769753 
200,1883.1720065876173 
210,1412.1449573400257 
220,262.28976349206334 
230,25.274320987654335 
240,28.200641025641026 
247,33.6548 
