time,freemem@tsung_controller@ip-172-31-28-38 
0,3514.48046875 
10,3516.45703125 
20,3516.45703125 
30,3516.45703125 
40,3516.45703125 
50,3516.45703125 
60,3516.45703125 
70,3516.45703125 
80,3516.45703125 
90,3516.45703125 
100,3516.45703125 
110,3516.45703125 
120,3516.45703125 
130,3516.45703125 
140,3516.45703125 
150,3516.45703125 
160,3516.45703125 
170,3516.45703125 
180,3516.45703125 
190,3516.45703125 
200,3516.45703125 
210,3516.45703125 
220,3516.45703125 
230,3516.45703125 
240,3516.45703125 
247,3516.45703125 
