time,freemem@tsung_controller@ip-172-31-28-38 
0,3514.48046875 
10,3514.48046875 
20,3514.29296875 
30,3509.58984375 
40,3505.48046875 
50,3498.01953125 
60,3495.8046875 
70,3485.92578125 
80,3477.328125 
90,3462.27734375 
100,3447.1953125 
110,3429.0078125 
120,3418.23046875 
130,3416.375 
140,3402.84765625 
150,3399.22265625 
160,3397.91015625 
170,3396.953125 
180,3395.63671875 
190,3394.8125 
200,3394.23046875 
210,3392.09375 
220,3391.1484375 
230,3391.1484375 
240,3391.1484375 
247,3391.1484375 
