time,connect,request 
0,11.604,202.11 
10,11.604,509.98 
20,11.604,509.98 
30,11.604,509.98 
40,11.604,680.758 
50,11.604,1274.044 
60,13.357,1274.044 
70,13.357,2250.977 
80,13.357,3296.967 
90,13.357,3855.46 
100,13.357,5250.755 
110,13.357,5462.609 
120,13.357,5462.609 
130,13.357,5462.609 
140,13.357,5462.609 
150,13.357,5462.609 
160,13.357,5462.609 
170,13.357,5462.609 
180,13.357,5462.609 
190,13.357,5462.609 
200,13.357,5462.609 
210,13.357,5462.609 
220,13.357,5462.609 
230,13.357,5462.609 
240,13.357,5462.609 
250,13.357,5462.609 
252,13.357,5462.609 
