time,size_sent,size_rcv 
0,18.196875,42.04453125 
10,59.1375,289.92734375 
20,95.37109375,573.30234375 
30,132.83125,1027.58515625 
40,187.015625,1048.6625 
50,241.8453125,1395.33984375 
60,341.2828125,2513.68359375 
70,289.42734375,1935.0609375 
80,292.9859375,1696.50625 
90,352.440625,1562.8203125 
100,554.8921875,2696.80625 
110,728.62421875,1712.26875 
120,926.91953125,1915.30859375 
130,1052.453125,4411.42890625 
140,966.6203125,4528.46484375 
150,1010.01171875,4561.6421875 
160,890.6890625,5381.95390625 
170,860.2203125,3971.48359375 
180,846.3671875,5085.51953125 
190,743.84765625,5603.68046875 
200,657.4140625,6034.0921875 
210,650.8515625,7016.87734375 
220,362.64765625,4332.35546875 
230,103.809375,1045.31015625 
240,30.51875,506.8953125 
250,8.484375,134.91796875 
252,0.55,0.1109375 
