time,size_sent,size_rcv 
0,18.196875,42.04453125 
10,77.334375,331.971875 
20,172.70546875,905.27421875 
30,305.53671875,1932.859375 
40,492.55234375,2981.521875 
50,734.39765625,4376.86171875 
60,1075.68046875,6890.5453125 
70,1365.1078125,8825.60625 
80,1658.09375,10522.1125 
90,2010.534375,12084.9328125 
100,2565.4265625,14781.7390625 
110,3294.05078125,16494.0078125 
120,4220.9703125,18409.31640625 
130,5273.4234375,22820.7453125 
140,6240.04375,27349.21015625 
150,7250.05546875,31910.85234375 
160,8140.74453125,37292.80625 
170,9000.96484375,41264.28984375 
180,9847.33203125,46349.809375 
190,10591.1796875,51953.48984375 
200,11248.59375,57987.58203125 
210,11899.4453125,65004.459375 
220,12262.09296875,69336.81484375 
230,12365.90234375,70382.125 
240,12396.42109375,70889.0203125 
250,12404.90546875,71023.93828125 
252,12405.45546875,71024.04921875 
