time,page 
0,47.726147058823535 
10,56.80082022471911 
20,54.85659230769229 
30,46.02808474576271 
40,146.21571851851857 
50,351.68391358024695 
60,365.4838784648192 
70,1391.0290580110484 
80,2382.704392405062 
90,2469.4655900621115 
100,1760.0382020905943 
110,1403.8216203389807 
120,1252.087357456137 
130,1159.8733858543417 
140,1274.831359751359 
150,1211.8172166921902 
160,1411.95324168126 
170,1419.7613060306028 
180,1486.5295000000003 
190,1635.1255678233454 
200,1488.7740319270251 
210,704.1757382022481 
220,46.549446153846176 
230,28.31443609022558 
240,26.519702702702705 
250,24.3457 
252,21.752 
