time,connect,request 
0,20.636,199.041 
10,20.636,259.78 
20,20.636,353.315 
30,20.636,517.658 
40,20.636,898.257 
50,20.636,1936.991 
60,20.636,2093.006 
70,20.636,2903.961 
80,20.636,4015.223 
90,20.636,4765.635 
100,20.636,5582.146 
110,20.636,5582.146 
120,22.044,5582.146 
130,22.044,5582.146 
140,22.044,5582.146 
150,22.044,5582.146 
160,22.044,5582.146 
170,22.044,5582.146 
180,22.044,5582.146 
190,22.044,5582.146 
200,22.044,5582.146 
210,22.044,5582.146 
220,22.044,5582.146 
230,22.044,5582.146 
240,22.044,5582.146 
246,22.044,5582.146 
