time,freemem@tsung_controller@ip-172-31-28-38 
0,3513.33203125 
10,3515.16796875 
20,3515.16796875 
30,3515.16796875 
40,3515.16796875 
50,3515.16796875 
60,3515.16796875 
70,3515.16796875 
80,3515.16796875 
90,3515.16796875 
100,3515.16796875 
110,3515.16796875 
120,3515.16796875 
130,3515.16796875 
140,3515.16796875 
150,3515.16796875 
160,3515.16796875 
170,3515.16796875 
180,3515.16796875 
190,3515.16796875 
200,3515.16796875 
210,3515.16796875 
220,3515.16796875 
230,3515.16796875 
240,3515.16796875 
246,3515.16796875 
