time,freemem@tsung_controller@ip-172-31-28-38 
0,3513.33203125 
10,3513.33203125 
20,3512.02734375 
30,3508.859375 
40,3504.40234375 
50,3496.43359375 
60,3487.01171875 
70,3478.67578125 
80,3467.625 
90,3459.83203125 
100,3443.140625 
110,3437.140625 
120,3422.078125 
130,3416.50390625 
140,3404.57421875 
150,3402.28125 
160,3400.73046875 
170,3399.51953125 
180,3398.6171875 
190,3397.34765625 
200,3396.1796875 
210,3395.61328125 
220,3394.6875 
230,3394.5546875 
240,3394.5546875 
246,3394.5546875 
