time,connect,request 
0,21.872,178.83 
10,21.872,333.693 
20,21.872,352.297 
30,21.872,714.533 
40,21.872,1180.974 
50,21.872,1285.715 
60,21.872,2342.675 
70,21.872,3102.439 
80,21.872,4245.307 
90,21.872,4890.422 
100,21.872,5488.241 
110,21.872,7547.686 
120,21.872,7547.686 
130,21.872,7547.686 
140,21.872,7547.686 
150,21.872,7547.686 
160,21.872,7547.686 
170,21.872,7547.686 
180,21.872,7547.686 
190,21.872,7547.686 
200,21.872,7547.686 
210,21.872,7547.686 
220,21.872,7547.686 
230,21.872,7547.686 
240,21.872,7547.686 
246,21.872,7547.686 
