time,size_sent,size_rcv 
0,17.55078125,50.08984375 
10,67.56171875,269.00546875 
20,96.23359375,649.23359375 
30,144.03671875,748.54296875 
40,205.4421875,1354.21484375 
50,258.0046875,1411.8703125 
60,266.83203125,1944.2421875 
70,261.52734375,1212.7609375 
80,252.99765625,1612.5234375 
90,324.06953125,1144.69921875 
100,650.6390625,1809.3921875 
110,849.5734375,2020.540625 
120,943.1625,2401.67265625 
130,978.3875,3167.76875 
140,1026.80703125,3461.8625 
150,950.08203125,3410.23515625 
160,874.8046875,3176.4484375 
170,823.76953125,3373.29765625 
180,762.0078125,3487.05390625 
190,683.25546875,3651.0671875 
200,572.68359375,3398.28984375 
210,440.2625,3857.63203125 
220,421.8828125,3633.9515625 
230,195.56171875,1774.29609375 
240,51.7328125,553.6109375 
246,8.7109375,66.38984375 
